prim_resid,resid,varw_resid,r2w_resid,invr2w_resid,sigr2w_resid,siginvr2w_resid,labels,funcG1,diffG1
0.003323897222983,0.09253154440357711,0.02562997765614124,0.005502015307861732,73.12033655332338,0.0054392382508575785,0.48739897245649577,2.0,-0.0006323095294646919,0.21932020783424377
0.0018094095506819,0.08416802897832494,0.024525858743440522,0.005198030375710674,71.6926025787043,0.005136917461470004,0.34220003477977035,2.0,0.017673581838607788,0.2315891534090042
0.0002981659237056,0.09420264457328731,0.027861383774521607,0.006259966983789422,72.38686970335154,0.006190872690771857,0.402474542920625,2.0,0.04298589006066322,0.2317531406879425
0.0033370760770657,0.07830004668336565,0.023781117268745867,0.005694408273927773,70.33719388991827,0.0056335377654490055,0.2913055847118733,2.0,-0.00014024891424924135,0.22165200114250183
0.0020347454868726,0.09445520334176392,0.026357753945831265,0.005355932165122724,79.33183174260895,0.005284124297728716,0.434373581019713,2.0,0.006610613316297531,0.1989264041185379
0.0037076376444056,0.09465238097676552,0.02703149685860025,0.005683051619223959,76.56358574760307,0.00561867994887337,0.45129820113572,2.0,-0.003256830619648099,0.22167646884918213
0.0031635451014615,0.09034615230673793,0.0255556340167695,0.005244389349718095,74.82354318426758,0.005180700532649832,0.421831847867084,2.0,0.001968749100342393,0.2239096611738205
0.065077826075708,0.4327486275422036,0.16540310416246748,0.027757644951917376,194.50963272612626,0.02750086023754815,2.914655680723302,2.0,0.23727808892726898,-0.06856228411197662
0.0653644359467686,0.4023118341501153,0.15401174431233194,0.023494164427296543,187.0967330861566,0.023240313017219783,2.809112644937739,2.0,0.2293202430009842,-0.10132892429828644
0.0003901457290179,0.1017494209613459,0.030981026117297344,0.007639617677923024,73.27201148761685,0.007570300370292652,0.504147858475815,2.0,0.016807135194540024,0.14061817526817322
5.517342522381977e-05,0.1035997573057357,0.0320298012989713,0.008182182227494795,74.29836145348526,0.008108028055054721,0.437797489838936,2.0,0.05304698273539543,0.23260506987571716
6.0533857574001454e-05,0.10782679343208215,0.032768549247830396,0.006873717011639123,68.8169941057301,0.006802973011777125,0.6130071135083031,2.0,0.06758178025484085,0.230014830827713
