Networks,Residuals
Frontoparietal,1.786582461451541e-09
Frontoparietal,0.0004487026570675
Frontoparietal,0.0001994050412609
Frontoparietal,1.9468588369171835e-05
Frontoparietal,0.0001996007618979
Frontoparietal,0.0003673740767935
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Frontoparietal,
Dorsal Attention,0.0005990329793651
Dorsal Attention,0.0005741543927523
Dorsal Attention,7.725059307728706e-07
Dorsal Attention,8.557579897991156e-05
Dorsal Attention,0.0001116473406221
Dorsal Attention,8.061528991052983e-05
Dorsal Attention,7.099714290425323e-05
Dorsal Attention,0.0001060646752716
Dorsal Attention,4.548050287160319e-05
Dorsal Attention,0.0001265015047552
Dorsal Attention,0.0002347227016289
Dorsal Attention,0.0003149144211295
Dorsal Attention,0.0003074607813185
Dorsal Attention,0.000314835080068
Dorsal Attention,0.0003107572181112
Dorsal Attention,0.0001790046945626
Dorsal Attention,0.000412090211637
Dorsal Attention,0.0001067989922274
Dorsal Attention,0.0002799620514646
Dorsal Attention,1.4525464453361253e-05
Dorsal Attention,3.837897810748572e-05
Dorsal Attention,6.962377564209306e-05
Dorsal Attention,0.000143359228821
Dorsal Attention,1.014390033560932e-05
Dorsal Attention,0.0006356252361085
Dorsal Attention,0.0006016852886233
Dorsal Attention,3.949596060335365e-05
Dorsal Attention,7.143259893458547e-05
Dorsal Attention,0.000134634247492
Dorsal Attention,9.902760139658344e-05
Dorsal Attention,4.220582966209376e-05
Dorsal Attention,7.008249261783902e-05
Dorsal Attention,3.765522769237056e-05
Dorsal Attention,0.0001096214663212
Dorsal Attention,0.0002651680846217
Dorsal Attention,0.0003269776603491
Dorsal Attention,0.0002284516770396
Dorsal Attention,0.0003045766638339
Dorsal Attention,0.0001158101659762
Dorsal Attention,0.0003857491083651
Dorsal Attention,6.414472178079856e-05
Dorsal Attention,2.9001074897915143e-05
Dorsal Attention,5.266332822214367e-05
Dorsal Attention,6.403496117817136e-05
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Dorsal Attention,
Default,1.83801601492606e-05
Default,1.968968625896236e-05
Default,0.0005342464831452
Default,0.0005170625717705
Default,1.972475694594481e-05
Default,0.0005349012841718
Default,0.000296713832516
Default,0.0003336505788123
Default,0.0001160901480669
Default,6.388582150814083e-05
Default,6.911139979382628e-05
Default,0.00032520715967
Default,4.038059444491279e-05
Default,0.0004247817629214
Default,0.0001431817304764
Default,0.0001393551277594
Default,0.0002714331908833
Default,0.0003609830397782
Default,6.473476541773e-08
Default,1.692346022847082e-05
Default,6.42675288322331e-05
Default,2.6136481154682088e-05
Default,1.345439450688902e-05
Default,8.379226570192804e-05
Default,1.504385530199708e-05
Default,0.0001114680288961
Default,0.0005434331017517
Default,0.0004241668710368
Default,0.0006289017005354
Default,0.0003800488257736
Default,6.761918694830215e-05
Default,4.732728286659487e-05
Default,0.0004848269485914
Default,0.0001701709124692
Default,0.0002009916047678
