sG1-fG1,unweighted average,unweighted average except sG1-fG1
0.003323897222983033,0.0038554810168157576,0.0038785933556780496
0.0018094095506819925,0.003507001207430246,0.0035808095403323443
0.0002981659237056938,0.00392511019055367,0.004082803419547061
0.0033370760770656976,0.0032625019451402617,0.0032592595915782864
0.0020347454868726075,0.003935633472573541,0.004018280776299669
0.003707637644405643,0.003943849207365254,0.003954119275320018
0.0031635451014615807,0.003764423012780781,0.003790548139359876
0.06507782607570803,0.018031192814258513,0.015985687020282448
0.06536443594676862,0.016762993089588164,0.014649886878406404
0.0003901457290179088,0.004239559206722791,0.004406925010101264
5.517342522381866e-05,0.0043166565544057,0.0045019384295875205
6.053385757400091e-05,0.004492783059670119,0.004685489546717775
0.008434913807662644,0.007289773586862093,0.007239984881609895
0.05134568324993317,0.019536323763179986,0.018153308133321153
0.04122195418355708,0.018524913660927116,0.017538085812117115
0.03956759612638065,0.017122429191449455,0.01614655236819158
0.06785809296755513,0.019636884133487225,0.01754030983635384
0.06459201579477035,0.017037856182680593,0.014970284025633211
0.0631456605740749,0.016412488525589308,0.014380611480002975
0.06456135965652114,0.0170180606831737,0.014950960727810768
0.06382378183531115,0.016395425750355918,0.0143333233118796
0.04712065256335145,0.011675022651853465,0.01013390830787529
0.05559443958748199,0.012876835193086751,0.01101954804550435
0.00048303049082001415,0.0035465139043437464,0.003679708835366517
0.0021788215309917905,0.004210574911922606,0.004298912015441338
0.00520858780168794,0.004163498898916694,0.004118060250970119
0.004934651044364276,0.003962762362367787,0.003920506332715765
0.0015716205367846182,0.003449369996206522,0.0035310112770509526
2.4268007800591264e-06,0.004432436346028883,0.004625045456691876
0.0511784182920869,0.020712876260276885,0.019388287476285144
0.039524806090423595,0.02008161068692711,0.019236254365035958
0.031022299305812726,0.014180094380674121,0.013447824601320268
0.05712170424838847,0.017590479400848607,0.015871730494433835
0.06625707359926175,0.01908550080582847,0.017034562858287895
0.06115702074043671,0.017907487892446238,0.01602707342079448
0.06694692509428445,0.018469239633846068,0.0163615141790444
0.07159400404839136,0.017585864491257507,0.015237684510512555
0.0630938710307681,0.015628802320650483,0.013565103681080153
0.06197245459140241,0.01595036144021131,0.013949400868420394
0.06529831686858856,0.015380232366416053,0.013209880866321596
0.0005571488669729808,0.003921908692518651,0.004068202597977158
0.0025319196251587088,0.003986604625657353,0.004049851799592077
0.0005946049167825872,0.0040060704188078266,0.004154395005852402
0.0044086808085942765,0.004128913345680906,0.004116749542945543
0.004634014329065242,0.00382640192358923,0.0037912883407424476
5.920976391962976e-07,0.004291796260565496,0.00447837035460577
0.018069406734144516,0.009408132559476916,0.009031555421447889
0.009665758326546188,0.008050638925796282,0.007980416343154984
0.05040926760376333,0.01987169937048991,0.0185439790125215
0.03252325180584867,0.016140287019197532,0.015427984202386613
0.06119715509723164,0.018809150404111907,0.016966193678324096
0.07268043744738802,0.019088789850294385,0.016758718215638138
0.044144606342779495,0.018012387640749083,0.016876204218921675
0.060475236681249364,0.014386439881086371,0.012382579150644503
0.07301190045223911,0.01958008912172532,0.017256966889963855
0.06465605653157666,0.015281432574171262,0.013134709793414506
0.059989550080119525,0.014228738170150053,0.012239137652325297
0.06065843804630683,0.013607053238233554,0.01156134085527385
0.06561075731081777,0.01659029200245014,0.014458967423825459
0.062222771055230344,0.014870698985650369,0.012811913243494719
0.0010390418876554868,0.004128065138360905,0.004262370497087227
0.0001108589259458358,0.0036889568215840774,0.0038445262953074794
0.0006108591069551933,0.004189879882969284,0.004345489481926419
7.861925702351518e-05,0.003883485442445985,0.0040489144070295705
