leave-one-out dmri,leave-one-out func,leave-one-out resid
0.9202488965041473,0.11458548651481694,0.8773460889542656
0.9361225916062134,0.15273235277394867,0.8932025554077158
0.8949268772484686,0.3626703523002622,0.8636279835765504
0.7239573516759344,0.34113897946486604,0.6570840504792029
0.8755803347512015,0.4864173799847058,0.8708051509602178
0.8305779417341437,0.5940134649425574,0.8048930441223483
0.7488567098029039,0.36917576789205786,0.6521342375034175
0.7841814310819032,0.7292817027277166,0.7229419176141484
0.7558871539700678,0.869235444451281,0.7595712496402455
0.9099383628367688,0.49126688192790513,0.8780453642829812
0.8212920675533482,0.04375065848966154,0.7861263715633413
0.9422826496488529,0.5704826448627742,0.9150984628284594
0.8392427074364601,0.44605209350615704,0.7943562716416129
0.7171007016419816,0.7193209762084961,0.6930273891007236
0.8837015214948216,0.1591856850698844,0.8372346660697041
0.5414357389262318,0.6571728298831747,0.5129696856677949
0.6133759608628387,0.6358983714115188,0.5402706339326317
0.941201167515574,0.4791302030545841,0.9084924920036308
0.8327053076466815,0.6447113953219898,0.8065214392184247
0.9056372886916659,0.15045312023236265,0.8623874188013089
0.9086548234205314,0.4873129654515348,0.8801838654413855
0.9063040108574563,0.7439372130025097,0.8956678870211429
0.7735662032515515,0.7372178981030412,0.7535568215425692
0.8411935208346679,0.6355418283167575,0.8067772724152146
0.8752931831377004,0.11898809099495243,0.8316168548748499
0.794207784903953,0.6018002445287801,0.7350224908593972
0.9299330508719518,0.7687748318699439,0.9134892385200115
0.9090475335724736,0.6713334669371774,0.8932455569061565
0.4568944086001422,0.6822801177443817,0.4101475572412845
0.8850101106537444,0.5187145896794502,0.8525680147240258
0.771364969322213,0.5336709716904048,0.6927621325278939
0.9360202199272204,0.5196114215656559,0.8956259666225581
0.6856709034739025,0.6225485217494502,0.6439582307063049
0.921359436066241,0.6641362287113769,0.8991002457452724
0.6974310467439259,0.7641047824505687,0.7120704369345906
0.7718513644459489,0.6711478810033138,0.7201113049569449
0.8258235918390125,0.5985608879024497,0.802425845465752
0.8926887534003961,0.14241870452253422,0.8248293553165778
0.8069496534550681,0.3512490106865907,0.7501503409685659
0.6801363290252964,0.7431633385603972,0.6861381417441804
0.8255599314128226,0.5252133952703345,0.8055883084029347
0.6363980592403896,0.8073300080172457,0.6187323268152146
0.6969153155759148,0.7993912159639046,0.6421416450622309
0.693729466410625,0.5454890781146702,0.6755274643425855
0.8788143285645423,0.7240390940054136,0.8368169238947122
0.9352848325540739,0.5937682472326508,0.9142091738022396
0.8583693021782882,0.6487197519286267,0.8399373172162489
0.09912577366703593,0.7879941418559624,0.06325528933167852
0.7477086100139033,0.6959561135838638,0.7078815950475975
0.9300613058674256,0.8140391048271338,0.925164639883108
0.7594542623969986,0.37718767447391965,0.7304453194128873
0.7509730611673147,0.842479233591026,0.7384540465675516
