labels,funcG1,funcG2
3.0,-0.0006323095294646919,-0.0006323095294646919
3.0,0.017673581838607788,0.017673581838607788
3.0,0.04298589006066322,0.04298589006066322
3.0,-0.00014024891424924135,-0.00014024891424924135
3.0,0.006610613316297531,0.006610613316297531
3.0,-0.003256830619648099,-0.003256830619648099
3.0,0.001968749100342393,0.001968749100342393
2.0,0.23727808892726898,0.23727808892726898
2.0,0.2293202430009842,0.2293202430009842
3.0,0.016807135194540024,0.016807135194540024
2.0,0.05304698273539543,0.05304698273539543
2.0,0.06758178025484085,0.06758178025484085
2.0,0.1446370929479599,0.1446370929479599
2.0,0.23713746666908264,0.23713746666908264
2.0,0.23691238462924957,0.23691238462924957
2.0,0.24156226217746735,0.24156226217746735
2.0,0.23936006426811218,0.23936006426811218
2.0,0.2300567328929901,0.2300567328929901
2.0,0.23651735484600067,0.23651735484600067
2.0,0.239435613155365,0.239435613155365
2.0,0.24319633841514587,0.24319633841514587
2.0,0.2187727391719818,0.2187727391719818
2.0,0.24019677937030792,0.24019677937030792
3.0,0.015789207071065903,0.015789207071065903
3.0,-0.007641850039362907,-0.007641850039362907
3.0,-0.03007141314446926,-0.03007141314446926
3.0,-0.016577603295445442,-0.016577603295445442
2.0,0.021256223320961,0.021256223320961
2.0,0.05736266076564789,0.05736266076564789
2.0,0.24795199930667877,0.24795199930667877
2.0,0.24704061448574066,0.24704061448574066
2.0,0.22758908569812775,0.22758908569812775
2.0,0.23272943496704102,0.23272943496704102
2.0,0.23911941051483154,0.23911941051483154
2.0,0.24058561027050018,0.24058561027050018
2.0,0.2384970635175705,0.2384970635175705
2.0,0.24857495725154877,0.24857495725154877
2.0,0.24298427999019623,0.24298427999019623
2.0,0.2404874861240387,0.2404874861240387
2.0,0.2509109079837799,0.2509109079837799
3.0,0.007765030022710562,0.007765030022710562
3.0,-0.012769066728651524,-0.012769066728651524
3.0,-0.0010625873692333698,-0.0010625873692333698
3.0,-0.022698475047945976,-0.022698475047945976
2.0,-0.009325130842626095,-0.009325130842626095
2.0,0.048456039279699326,0.048456039279699326
2.0,0.17881052196025848,0.17881052196025848
2.0,0.15289179980754852,0.15289179980754852
2.0,0.2525022029876709,0.2525022029876709
2.0,0.23699016869068146,0.23699016869068146
2.0,0.24254997074604034,0.24254997074604034
2.0,0.2514621317386627,0.2514621317386627
2.0,0.24549150466918945,0.24549150466918945
2.0,0.22903333604335785,0.22903333604335785
2.0,0.24604691565036774,0.24604691565036774
2.0,0.2390523999929428,0.2390523999929428
2.0,0.23894639313220978,0.23894639313220978
2.0,0.22806426882743835,0.22806426882743835
2.0,0.24001726508140564,0.24001726508140564
2.0,0.24287953972816467,0.24287953972816467
3.0,0.06830091029405594,0.06830091029405594
3.0,0.033548735082149506,0.033548735082149506
3.0,0.05428491160273552,0.05428491160273552
3.0,0.02228989265859127,0.02228989265859127
2.0,-0.0037187887355685234,-0.0037187887355685234
2.0,-0.0452537015080452,-0.0452537015080452
2.0,-0.023214221000671387,-0.023214221000671387
2.0,-0.020651599392294884,-0.020651599392294884
2.0,-0.017487889155745506,-0.017487889155745506
2.0,0.1307378113269806,0.1307378113269806
2.0,0.09469937533140182,0.09469937533140182
2.0,0.19975294172763824,0.19975294172763824
2.0,0.20992401242256165,0.20992401242256165
2.0,0.1576116681098938,0.1576116681098938
2.0,0.2520420551300049,0.2520420551300049
2.0,0.2506590187549591,0.2506590187549591
