,2,3,4
0,1.0,0.0,0.0
1,0.0,0.0,2.0
2,0.0,0.0,2.0
3,0.0,0.0,2.0
4,1.0,0.0,2.0
5,1.0,0.0,2.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,0.0,0.0
9,1.0,0.0,0.0
10,1.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,2.0
13,0.0,0.0,2.0
14,0.0,0.0,2.0
15,0.0,0.0,2.0
16,1.0,1.0,1.0
17,1.0,0.0,0.0
18,1.0,0.0,0.0
19,1.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,2.0
22,0.0,0.0,2.0
23,0.0,0.0,2.0
24,0.0,0.0,0.0
25,0.0,0.0,2.0
26,0.0,0.0,2.0
27,1.0,0.0,2.0
28,1.0,0.0,2.0
29,1.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,2.0
34,0.0,0.0,2.0
35,1.0,0.0,2.0
36,1.0,0.0,2.0
37,1.0,1.0,2.0
38,1.0,1.0,1.0
39,1.0,0.0,1.0
40,1.0,0.0,0.0
41,1.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,2.0
46,0.0,0.0,2.0
47,0.0,0.0,2.0
48,0.0,0.0,2.0
49,0.0,0.0,2.0
50,1.0,0.0,2.0
51,1.0,0.0,2.0
52,1.0,1.0,1.0
53,1.0,1.0,1.0
54,1.0,1.0,1.0
55,1.0,1.0,1.0
56,1.0,1.0,1.0
57,1.0,1.0,1.0
58,1.0,1.0,1.0
59,1.0,0.0,0.0
60,1.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,2.0
67,0.0,0.0,2.0
68,0.0,0.0,2.0
69,0.0,0.0,2.0
70,0.0,0.0,2.0
71,1.0,0.0,2.0
72,1.0,0.0,2.0
73,1.0,1.0,1.0
74,1.0,1.0,1.0
75,1.0,1.0,1.0
76,1.0,1.0,1.0
77,1.0,1.0,1.0
78,1.0,1.0,1.0
79,1.0,1.0,1.0
80,1.0,0.0,0.0
81,1.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,2.0,3.0
87,0.0,0.0,2.0
88,0.0,0.0,2.0
89,0.0,0.0,2.0
90,0.0,0.0,2.0
91,0.0,0.0,2.0
92,0.0,0.0,2.0
93,1.0,0.0,2.0
94,1.0,0.0,1.0
95,1.0,1.0,1.0
96,1.0,1.0,1.0
97,1.0,0.0,0.0
98,1.0,0.0,0.0
99,1.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,2.0,3.0
103,0.0,2.0,3.0
104,0.0,2.0,3.0
105,0.0,0.0,2.0
106,1.0,0.0,2.0
107,0.0,0.0,0.0
108,0.0,0.0,2.0
109,1.0,0.0,2.0
110,1.0,0.0,2.0
111,1.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,2.0
116,0.0,0.0,2.0
117,1.0,0.0,2.0
118,1.0,0.0,2.0
119,1.0,1.0,1.0
120,1.0,1.0,1.0
121,1.0,1.0,1.0
122,1.0,1.0,1.0
123,1.0,0.0,0.0
124,1.0,0.0,0.0
125,1.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,2.0
130,0.0,0.0,2.0
131,0.0,0.0,2.0
132,1.0,0.0,2.0
133,1.0,0.0,2.0
134,1.0,1.0,2.0
135,1.0,1.0,1.0
136,1.0,1.0,1.0
137,1.0,1.0,1.0
138,1.0,1.0,1.0
139,1.0,1.0,1.0
140,1.0,1.0,1.0
141,1.0,1.0,1.0
142,1.0,1.0,1.0
143,1.0,0.0,0.0
144,1.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,2.0
151,0.0,0.0,2.0
152,0.0,0.0,2.0
153,0.0,0.0,2.0
154,0.0,0.0,2.0
155,1.0,0.0,2.0
156,1.0,0.0,2.0
157,1.0,1.0,1.0
158,1.0,1.0,1.0
159,1.0,1.0,1.0
160,1.0,1.0,1.0
