networks,clust1,clust2,clust3
Visual,1.1124830882771308,1.142055688565771,1.0808844844436494
Somatomotor,1.1574286101297477,1.2155250244109927,1.134924351988294
Dorsal Attention,1.0915994203016217,1.1973238848310517,0.9988510273527997
Ventral Attention,1.1235484338247719,1.3002435788117848,0.9999464704528355
Default,1.216435316344721,1.106559505602441,1.2478853880678455
Frontoparietal,1.171530948857477,1.1884462844100472,1.0757697553916836
Limbic,1.302601926316149,1.2434771800712756,1.2947799220184804
