networks,Grad1 10% Upper,Grad1 10% Lower
Visual,1.1575716412558237,1.078046839628631
Somatomotor,1.2596530114369375,1.137777848061049
Dorsal Attention,1.2680755500225807,0.9762018341189949
Ventral Attention,1.4117503682669539,0.9653648116946907
Default,1.0573146698983944,1.2768637288257887
Frontoparietal,1.2193164003771535,1.0702037822257968
Limbic,1.2178413448496301,1.3133667248242509
