1,2,3,4
0.006582955,-0.0158113,0.009170792,0.0050067
0.103367515,-0.010132923,0.010840265,-0.0030454546
-0.0455135,0.019262267,-0.004042292,0.0020491825
-0.017734274,-0.005363354,0.0010111899,0.0077209403
0.007352537,-0.0030340932,0.00593708,0.0030802237
0.033838768,-0.017577814,0.0064111482,0.0026700182
0.1104569,-0.020235045,0.004959044,-0.00421707
0.07825878,-0.024501106,-0.010640942,-0.0077129467
,,,
-0.06676544,-0.060940772,-0.028109107,0.001253362
0.08512156,-0.009939872,0.0055847075,-0.0026828041
0.0658582,-0.02841794,-0.011804715,-0.0025745519
0.07014977,-0.018111901,-0.0030792216,-0.0023046946
0.0043783053,-0.012976529,0.004419175,0.008211402
-0.0033890859,-0.0048107235,0.003588389,0.0030626312
0.08978848,-0.01204558,0.014423955,-0.001977421
0.09907929,-0.016483773,0.011923811,-0.0029956985
0.08978848,-0.01204558,0.014423955,-0.001977421
-0.025429921,-0.024096347,-0.011821289,-0.0009686401
-0.028048981,-0.012347408,0.0028091506,0.0051014223
0.034868404,-0.0015420227,0.004263375,-0.0006956077
-0.06788084,0.022761533,-0.009854943,0.0033132199
-0.024753354,0.014546069,-0.0008438913,0.0060691475
,,,
0.015092828,-0.023842644,0.0063857096,0.011960315
-0.059264544,-0.026309341,-0.0024937252,0.0052611483
0.05465823,-0.013029415,0.0054923375,-0.00039035454
0.05493811,-0.0122851245,0.0040399167,5.7157078e-05
0.038009565,-0.007670247,0.0008705676,-0.0005306946
0.032300454,0.018108655,-0.0021507523,-0.0046365433
0.05318408,-0.013525339,0.007931931,0.0010643869
0.061885167,-0.016515998,-0.0027969312,-0.00074816676
0.08101444,-0.018355666,0.00047118947,-0.0021409208
-0.030629821,0.034491304,-0.01083928,-0.004194687
0.0,0.0,0.0,0.0
0.13405697,-0.02054797,0.012315303,-0.0035729327
,,,
0.02523456,-0.003980194,0.0025051166,-0.0002769659
,,,
0.05281551,-0.01900626,0.0017699425,2.0236828e-05
0.09889353,-0.011565043,0.01231965,-0.0025520923
0.12118674,-0.016973631,0.012790556,-0.0022342384
0.07014977,-0.018111901,-0.0030792216,-0.0023046946
-0.0065672942,-0.0022277148,-0.00081855117,0.0018461318
0.041661583,-0.005004777,0.008181617,-0.00012901149
-0.013831147,-0.01384404,0.0058356225,0.0049469257
-0.013831147,-0.01384404,0.0058356225,0.0049469257
0.042644925,-0.024291113,0.01474178,0.0030791159
0.08978848,-0.01204558,0.014423955,-0.001977421
-0.028048981,-0.012347408,0.0028091506,0.0051014223
0.07014977,-0.018111901,-0.0030792216,-0.0023046946
0.041661583,-0.005004777,0.008181617,-0.00012901149
-0.006350726,-0.010741175,0.00545835,0.009289554
0.0024331235,-0.00438937,0.00250092,0.003798192
-0.00064529065,-0.0013492551,0.0063545187,0.0074212938
-0.017090121,-0.0050236243,-0.0017668568,0.008586001
-0.046721477,-0.018577352,0.0028983767,0.015982103
-0.007563159,-0.0035687175,-0.0015283726,0.0033243566
