resid,labels,funcG1,diffG1
0.02562997765614124,2.0,-0.0006323095294646919,0.21932020783424377
0.02452585874344051,2.0,0.017673581838607788,0.2315891534090042
0.027861383774521506,2.0,0.04298589006066322,0.2317531406879425
0.023781117268745756,2.0,-0.00014024891424924135,0.22165200114250183
0.02635775394583126,2.0,0.006610613316297531,0.1989264041185379
0.02703149685860025,2.0,-0.003256830619648099,0.22167646884918213
0.0255556340167695,2.0,0.001968749100342393,0.2239096611738205
0.16540310416246748,2.0,0.23727808892726898,-0.06856228411197662
0.15401174431233183,2.0,0.2293202430009842,-0.10132892429828644
0.030981026117297344,2.0,0.016807135194540024,0.14061817526817322
0.03202980129897129,2.0,0.05304698273539543,0.23260506987571716
0.032768549247830396,2.0,0.06758178025484085,0.230014830827713
0.0616656039064041,2.0,0.1446370929479599,0.2030671089887619
0.1780768225452796,2.0,0.23713746666908264,0.04054629057645798
0.16969052241271348,2.0,0.23691238462924957,0.13031482696533203
0.16089781971446399,2.0,0.24156226217746735,0.1640305370092392
0.1789967950750297,2.0,0.23936006426811218,-0.08129481971263885
0.15688504892179453,2.0,0.2300567328929901,-0.09266860783100128
0.15473751349260337,2.0,0.23651735484600067,-0.05681249126791954
0.15667281085230858,2.0,0.239435613155365,-0.05636252462863922
0.15210233849615853,2.0,0.24319633841514587,-0.03629898279905319
0.11359698884231183,2.0,0.2187727391719818,0.006538031622767448
0.12501585372037802,2.0,0.24019677937030792,0.016970103606581688
0.02753469597812328,2.0,0.015789207071065903,0.14526420831680298
0.03150337103839327,2.0,-0.007641850039362907,0.1501445472240448
0.0317121831938296,2.0,-0.03007141314446926,0.16192631423473358
0.027467156336134748,2.0,-0.016577603295445442,0.2064294070005417
0.024356382398442702,2.0,0.021256223320961,0.234239861369133
0.03388155354165949,2.0,0.05736266076564789,0.2266264259815216
0.19023033943305612,2.0,0.24795199930667877,0.08356309682130814
0.18481505290744885,2.0,0.24704061448574066,0.18551579117774963
0.1351367755245742,2.0,0.22758908569812775,0.19792188704013824
0.16113844743551586,2.0,0.23272943496704102,-0.024124203249812126
0.17460371537736627,2.0,0.23911941051483154,-0.07033009827136993
0.1661171805974011,2.0,0.24058561027050018,-0.025823529809713364
0.17032392227124607,2.0,0.2384970635175705,-0.07786460220813751
0.16403088453391787,2.0,0.24857495725154877,-0.0730629712343216
0.1468520121099542,2.0,0.24298427999019623,-0.031542256474494934
0.15157099355673068,2.0,0.2404874861240387,-0.03252127021551132
0.1468520522695825,2.0,0.2509109079837799,-0.01778705045580864
0.029967742132190514,2.0,0.007765030022710562,0.12065501511096954
0.031128306657867866,2.0,-0.012769066728651524,0.14442554116249084
0.029017678556252723,2.0,-0.0010625873692333698,0.08970338851213455
0.0317145815440196,2.0,-0.022698475047945976,0.16808152198791504
0.026488955139809384,2.0,-0.009325130842626095,0.22596479952335358
0.033439144104567706,2.0,0.048456039279699326,0.1893365979194641
0.0878083177066045,2.0,0.17881052196025848,0.1707301139831543
0.07180175699708258,2.0,0.15289179980754852,0.20992086827754974
0.18595014200680562,2.0,0.2525022029876709,0.10762790590524673
