networks,Grad1 25% Upper,Grad1 25% Lower
Visual,1.180878656774706,1.0834891353908211
Somatomotor,1.2178232034286594,1.122897143555126
Dorsal Attention,1.2507423756152156,0.976841593146139
Ventral Attention,1.368372843996568,0.9571332517639428
Default,1.0782397876939114,1.2638310642924513
Frontoparietal,1.2126809440112256,1.0692281142961484
Limbic,1.2423191282323078,1.2903808808612265
