Network,Geodesic,Functional,Structural
1,0.718208432197571,0.51988477,0.80569464
2,0.75660640001297,0.106873386,0.11259901
1,0.756608426570892,0.10362768,0.43365976
1,0.719053506851196,0.3163826,0.731491
1,0.779793977737427,0.25307277,0.6845521
1,0.790395677089691,0.20955524,0.52737963
1,0.662257969379425,0.19155176,0.30757168
2,0.702747046947479,0.38737467,0.5809013
2,0.726781189441681,0.36035165,0.46898258
3,0.693347632884979,0.37283805,0.27718413
3,0.562886238098145,0.34750023,0.0593417
4,0.621569633483887,0.2259768,0.22215973
1,0.915524423122406,0.048245877,0.5779287
5,0.567837297916412,0.7029221,0.5363513
5,0.760597348213196,0.5208194,0.54096705
1,0.931535303592682,0.012578543,0.3825088
2,0.929273903369904,0.097443536,0.3074273
1,0.615211486816406,0.33231765,0.3148212
1,0.95029753446579,0.044094827,0.26363713
1,0.864389777183533,0.066781975,0.25447786
1,0.788187265396118,0.09639573,0.26988488
1,0.740086555480957,0.20917918,0.29891506
1,0.774690747261047,0.117098995,0.18641947
1,0.360927045345306,0.7312028,0.090280205
4,0.547976434230804,0.2414943,0.1637783
6,0.589565634727478,0.1608823,0.31034037
5,0.763440728187561,0.5081235,0.4131846
4,0.559222400188446,0.34189826,0.10784009
5,0.811956465244293,0.37639198,0.43434453
7,0.725605010986328,0.54154074,0.47677988
6,0.613481998443604,0.58760756,0.4373589
6,0.565231144428253,0.5451275,0.46616092
7,0.629218935966492,0.59108317,0.36744592
6,0.646094441413879,0.6029656,0.37565276
7,0.693966865539551,0.5285164,0.3630708
2,0.759481430053711,0.30190712,0.33387527
3,0.70643013715744,0.39571843,0.30843756
3,0.639429867267608,0.46797937,0.29759896
2,0.834965229034424,0.31976175,0.39986256
2,0.606941521167755,0.45407078,0.2712925
2,0.515466928482056,0.47245055,0.1260737
2,0.877676129341126,0.24625865,0.46813998
3,0.551213800907135,0.42990577,0.28249305
4,0.682002425193787,0.43703523,0.3347329
3,0.83912992477417,0.28895718,0.4694314
3,0.880446374416351,0.22442926,0.41018534
2,0.817082285881043,0.20641606,0.39982098
3,0.834409832954407,0.13814367,0.32189766
3,0.901321232318878,0.12534352,0.42062944
3,0.89852511882782,0.19239369,0.33739215
