Network,Geodesic,Functional,Structural
3,0.53322446346283,0.38670316,0.16995
5,0.545398712158203,0.2998019,0.3133126
4,0.713544547557831,0.4031181,0.42689466
4,0.581257283687592,0.39436418,0.10669786
4,0.791284024715424,0.31224874,0.43873695
6,0.741809368133545,0.5463278,0.46920693
5,0.658608138561249,0.57475173,0.43106452
6,0.513263523578644,0.5194589,0.432672
7,0.661902010440826,0.61981237,0.3657791
7,0.597964227199554,0.5861335,0.35816944
7,0.643339514732361,0.53877693,0.36346245
2,0.70044732093811,0.25240907,0.3364952
3,0.662691414356232,0.316028,0.32023093
4,0.599034011363983,0.4012936,0.3044941
2,0.785155415534973,0.29660827,0.39358857
2,0.549367666244507,0.3996962,0.28824908
2,0.470119059085846,0.43872914,0.14994486
2,0.84744656085968,0.21327034,0.46400088
3,0.50207531452179,0.42434552,0.28279588
4,0.637838900089264,0.41979647,0.32598114
3,0.785954594612122,0.24590188,0.4703329
3,0.867260098457336,0.21323335,0.40603045
2,0.862730741500855,0.19201909,0.385408
2,0.873290240764618,0.09553678,0.32184926
3,0.874028623104095,0.09281421,0.40077287
3,0.898932993412018,0.16635762,0.33194405
2,0.732215225696564,0.23270206,0.5106145
2,0.745604276657105,0.26776084,0.4363233
2,0.713381409645081,0.36355472,0.39278978
2,0.756243109703064,0.35260448,0.41527593
2,0.666050136089325,0.44582495,0.44137862
2,0.546219229698181,0.34205088,0.16863671
3,0.423911392688751,0.5018122,0.33693388
4,0.314018547534943,0.7283198,0.5467226
4,0.313653826713562,0.44130972,0.40573895
4,0.378893673419952,0.4308971,0.14769574
7,0.140453010797501,0.7335629,0.62023026
6,0.293679594993591,0.56381774,0.22014505
6,0.420338332653046,0.40707257,0.2937302
7,0.18165673315525,0.6702096,0.35196534
7,0.182063803076744,0.7178201,0.3855184
6,0.14512974023819,0.75301653,0.14911753
6,0.593700468540192,0.32000902,0.2311298
7,0.61334091424942,0.53539515,0.10450096
7,0.317084133625031,0.5485845,0.48310015
6,0.497183084487915,0.3481963,0.3222664
6,0.507683336734772,0.36305156,0.2743188
6,0.320341408252716,0.5579615,0.5401345
6,0.519141852855682,0.40522963,0.15090589
5,0.341874897480011,0.36046383,0.17678119
6,0.257052719593048,0.35066083,0.2009255
6,0.189140364527702,0.39429215,0.2369382
6,0.299936771392822,0.29944488,0.4414114
3,0.43819123506546,0.44257098,0.14190187
5,0.456392228603363,0.45093507,0.025784384
3,0.506376147270203,0.348617,0.0026212635
6,0.390815556049347,0.5014123,0.11047188
5,0.325278341770172,0.43745357,0.19836539
6,0.465051174163818,0.30906358,0.1493993
5,0.528371393680573,0.3687377,0.16801478
6,0.394491612911224,0.29526117,0.26047587
5,0.511849582195282,0.38042185,0.23815447
6,0.426606953144074,0.33066118,0.41800293
5,0.195591136813164,0.6537748,0.55687493
5,0.351333677768707,0.34685346,0.5533258
5,0.273603200912476,0.579052,0.6923086
5,0.20741830766201,0.43581545,0.48995283
5,0.09247262775898,0.6587065,0.32747337
5,0.104701846837997,0.8742072,0.600548
6,0.082729265093803,0.62180275,0.3136159
3,0.821769535541534,0.26442754,0.15117043
3,0.724330723285675,0.3419083,0.19003785
6,0.663921654224396,0.31954226,0.18672356
6,0.614150762557983,0.3247233,0.19119677
3,0.425868093967438,0.3612323,0.1459372
2,0.446353435516357,0.31754747,0.17439161
2,0.410322725772858,0.3500941,0.06470256
2,0.364539980888367,0.4423013,0.046387568
2,0.320019364356995,0.5192303,0.19549426
2,0.434175789356232,0.41767177,0.07559347
2,0.470372915267944,0.35072306,0.11657111
3,0.228581473231316,0.5065166,0.44258204
2,0.254343092441559,0.42999172,0.21583152
4,0.266023457050323,0.45687917,0.06924581
3,0.209268882870674,0.48742893,0.12948959
4,0.143326222896576,0.8088638,0.83566415
5,0.151994481682777,0.49356753,0.06155854
5,0.091665148735046,0.8245997,0.40560198
4,0.349096775054932,0.3863601,0.061630163
3,0.265930950641632,0.4104806,0.025706993
2,0.316497087478638,0.38051543,0.030756775
2,0.626197695732117,0.22253191,0.12821001
3,0.758702576160431,0.22891186,0.07485449
5,0.302992820739746,0.8532267,0.5023647
2,0.449261486530304,0.9070229,0.6055323
5,0.313891410827637,0.85510516,0.6877754
1,0.568705201148987,0.50472534,0.4751397
5,0.341634750366211,0.8313519,0.73369354
5,0.264911293983459,0.42169583,0.33543292
2,0.382623255252838,0.44499233,0.19979055
2,0.424608707427979,0.3495066,0.25392592
2,0.437371015548706,0.6801702,0.5113749
1,0.497297525405884,0.5125819,0.4623581
6,0.387776255607605,0.5407827,0.26929578
5,0.529407143592835,0.27896583,0.116881125
7,0.564651548862457,0.35632527,0.10135777
5,0.275919198989868,0.6870254,0.92066383
7,0.436393857002258,0.59138125,0.35008016
6,0.645316898822784,0.40773553,0.26215544
5,0.515265583992004,0.74674594,0.39073035
4,0.46301531791687,0.78806067,0.45491353
3,0.566680431365967,0.5027371,0.25032142
4,0.711996674537659,0.37073663,0.2554686
2,0.685128688812256,0.23027785,0.26755345
4,0.610224366188049,0.37076807,0.110923246
3,0.751428186893463,0.3221874,0.1567349
3,0.80314552783966,0.3309601,0.14589284
1,0.776068508625031,0.27281743,0.41973022
2,0.888177216053009,0.23294257,0.42327723
5,0.744932055473328,0.25167057,0.08254031
5,0.849789500236511,0.2584404,0.3503928
2,0.950890243053436,0.16093755,0.34267133
3,0.535661160945892,0.3380855,0.20562732
3,0.573533058166504,0.41121614,0.25037602
6,0.689395189285278,0.24561027,0.25402874
6,0.714669525623322,0.47591874,0.15642877
6,0.786628067493439,0.400651,0.3701566
1,0.894561588764191,0.04859234,0.42250863
1,0.546007394790649,0.21829295,0.41883653
1,0.604276478290558,0.171949,0.31724736
1,0.471769213676453,0.5776743,0.46233436
1,0.785885214805603,0.08048096,0.23576464
2,0.739710628986358,0.19266796,0.2065773
1,0.962668716907501,0.037435975,0.3119887
1,0.867158949375153,0.06744846,0.24995217
1,0.558623254299164,0.20564054,0.44959795
7,0.688708186149597,0.50150615,0.35473216
6,0.638384580612183,0.47503853,0.3312778
1,0.577682197093964,0.31579274,0.35420886
5,0.020132191479206,0.85798496,0.76206803
6,0.09031780064106,0.71468866,0.43307608
5,1E-06,0.9754282,0.9202462
3,0.243207022547722,0.53277224,0.45816553
2,0.33262574672699,0.47510853,0.06525677
4,0.214512184262276,0.4735727,0.055492565
6,0.421823441982269,0.45385885,0.43968526
6,0.297719180583954,0.2838573,0.27846584
5,0.366156697273254,0.7696309,0.63600564
2,0.326343536376953,0.6344485,0.16157493
2,0.395365595817566,0.5898786,0.12622663
2,0.403231918811798,0.35512176,0.27144977
7,0.44233113527298,0.5717931,0.20257963
6,0.560567796230316,0.5114675,0.16396181
4,0.21642442047596,0.5222629,0.29443428
5,0.309827327728271,0.5358589,0.18148196
6,0.199729815125465,0.72197706,0.5911084
