labels,geodesic,myelin,functional,structural,fused,funcG1,diffG1,funcG2,diffG2,wresidC
54,0.7964731,0.8545683,0.4698338840711309,0.4152759248240618,0.5649021188505436,0.4809785166721034,0.550128998741467,0.6793698753214283,0.6858025087299228,0.010250442060094508
46,0.91120404,0.69122416,0.2109923613296027,0.4044316250595857,0.3929153528840807,0.6879474237141068,0.9185903381511682,0.4353046754848248,0.6647405355168184,0.11906030152293982
41,0.5649193,0.72183794,0.5213825044902958,0.1141979215882187,0.2546385231927694,0.6494864334910619,0.5111398596993911,0.6601743443620278,0.8974762480605112,0.17906862448065836
87,0.5523004,0.6414019,0.3417244802975858,0.4180029432415024,0.4854607007214793,0.2934815754586584,0.5655799848480242,0.4229601949959881,0.6597760873153418,0.1028586018057368
99,0.45018843,0.7075021,0.3774074708365211,0.1445572408743373,0.1926295764047806,0.820414904815626,0.6172252241934703,0.6931948498252851,0.6275687223404978,0.4107648807005381
149,0.7086205,0.65795195,0.3193063778615941,0.2644614858962076,0.3130606697810829,0.4112259320620677,0.7960261363697898,0.1589292234595464,0.6547152353831297,0.03203644734298914
6,0.8468285,0.7740548,0.2699418873061443,0.5186691498571004,0.4983313358032114,0.5692656363508606,0.9348103474162648,0.3503131403037931,0.5171228195056448,0.014599963441224538
121,0.61373365,0.7255699,0.5898724244711175,0.4502732149076878,0.6676221945256358,0.3573129788747791,0.8415214180286212,0.6021186962101926,0.6456293692490277,0.055218388665309794
0,,,,,,,,,,
111,0.16757964,0.6517915,0.5143929653069685,0.0615585414844348,0.1879835133129946,0.7720727846101008,0.6457219986738275,0.0,0.6553759411713672,0.3424179298419495
129,0.46823597,0.6988431,0.2243173294613707,0.1090611801433832,0.0634474910693778,0.4151508892310126,0.7479607936877986,0.3986044627563235,0.736370660141115,0.012514683157652591
135,0.43706852,0.620976,0.7898056349909961,0.4299264272314272,0.7532657878124138,0.4836982841902984,0.8943231480006054,0.3348845563855372,0.5010300307551538,0.011880026471468727
8,0.6093221,0.7707435,0.4444224318916383,0.597240835418066,0.667877722687789,0.5022081313987903,0.5978455280553705,0.7492858919796147,0.6797144643359209,0.011253922197479683
83,0.4573801,0.7199457,0.3046725881059227,0.1493383363561849,0.1878715189416159,0.6720041482505897,0.6053114810113619,0.2137129406069705,0.7078446797883882,0.17840231214867205
