geodesic,myelin,functional,structural,fused,funcG1,funcG2,diffG1,diffG2,wresidC
0.5623256,0.700015,0.35657495,0.17031367,0.21752803,0.78284323,0.72798973,0.5955794,0.6923713,0.36798084
0.5018431,0.62104154,0.6348781,0.3891472,0.5698193,0.7473853,0.41504523,0.17048892,0.87208253,0.51025164
0.41484866,0.5971899,0.7209872,0.54610515,0.7450873,0.6209973,0.2136493,0.13026495,0.82780015,0.297688
0.41006073,0.60460824,0.46244633,0.41748676,0.49141395,0.8594553,0.49526823,0.1474955,0.8573297,0.87913567
0.44813895,0.6502559,0.39542368,0.14250174,0.19986546,0.9208841,0.5553621,0.49660224,0.8916273,0.90476
0.23369834,0.60274464,0.7465063,0.5769382,0.71847856,0.12881011,0.72062236,0.08203327,0.821937,0.25158226
0.3722746,0.63084716,0.6088516,0.2242178,0.44019362,0.25297487,0.42968854,0.41982085,0.90486634,0.098999955
0.48183906,0.6454656,0.4155855,0.2994331,0.42881453,0.5164194,0.15608327,0.56651396,0.8773387,0.041947022
0.2724413,0.62672096,0.7134172,0.3250408,0.56254375,0.18256626,0.7209475,0.21770263,0.8885114,0.16907641
0.26117292,0.6438268,0.68396336,0.41782257,0.6066558,0.054892767,0.93188053,0.25836354,0.7459012,0.44433907
0.20214851,0.73060656,0.6611219,0.106739,0.33251974,0.35338518,0.57702595,0.65904474,0.63929284,0.04482581
0.6139007,0.6717477,0.309821,0.23087464,0.28622907,0.23501696,0.49786437,0.6025736,0.6988931,0.20636284
0.64972705,0.6613116,0.52820104,0.11678081,0.24647813,0.111923955,0.7815757,0.6355735,0.7113267,0.47754055
0.3966067,0.61755157,0.43006334,0.48185894,0.5845582,0.18888594,0.5997323,0.43140152,0.8730554,0.20321068
0.5738857,0.63126165,0.2752218,0.3393628,0.3810221,0.24234983,0.4729468,0.6259363,0.76346433,0.1937871
0.5687387,0.63154334,0.43019453,0.27467722,0.39510313,0.15452227,0.65747607,0.61121196,0.66991174,0.367333
0.4040655,0.630165,0.5510587,0.53230846,0.66493726,0.08988308,0.7472784,0.44875062,0.7582074,0.4217421
0.5347287,0.68986684,0.405749,0.14392267,0.23560442,0.41988954,0.2684659,0.6123897,0.6924021,0.01981823
0.3826851,0.67289215,0.24512443,0.17087625,0.17248727,0.6072492,0.17927666,0.6246016,0.687501,0.1136586
0.2930788,0.69471735,0.27414545,0.20731393,0.21491633,0.515451,0.3190138,0.6533505,0.5907727,0.10465284
0.22610527,0.65878326,0.2930374,0.24764068,0.27342764,0.40801886,0.33377877,0.67723274,0.539208,0.056203786
0.298177,0.6379659,0.32656372,0.44819137,0.48355624,0.4196478,0.29000786,0.5902082,0.56923574,0.0424256
0.46587977,0.66940475,0.23502165,0.15195338,0.16568941,0.96070683,0.38008425,0.62109536,0.6913345,0.8975899
0.48970896,0.7152024,0.36064097,0.01992744,0.059513338,0.70417523,0.278808,0.63044,0.7269252,0.24130529
0.5265381,0.7074101,0.27499056,0.015713776,0.01621553,0.74789834,0.24744089,0.62092143,0.7309554,0.34023145
0.43336582,0.7172552,0.4119002,0.093380496,0.17879082,0.5517045,0.27969235,0.63267666,0.70351917,0.052847683
0.38345155,0.6854939,0.31858915,0.19301303,0.24854071,0.78110415,0.21997912,0.6446989,0.6388339,0.4281227
0.4745214,0.67842466,0.31762418,0.14884166,0.1942027,0.65216416,0.22530784,0.60639054,0.7058795,0.17668335
0.52167904,0.64262193,0.31808203,0.17297757,0.22001572,0.8331964,0.36524254,0.60212535,0.7017319,0.6096873
0.41084027,0.6611341,0.37733862,0.28187817,0.37380475,0.60217386,0.20071252,0.5853077,0.673657,0.12184161
0.5238811,0.64910525,0.43581164,0.24400422,0.36197916,0.6914997,0.30555084,0.58170044,0.6942746,0.3223972
0.51473457,0.63165206,0.3551317,0.41474485,0.487854,0.27726826,0.44935644,0.5640322,0.66322887,0.13132632
0.25235623,0.6060061,0.6546554,0.5471215,0.71596056,0.16967316,0.5978158,0.2869674,0.6170944,0.23346418
0.39471927,0.6453877,0.40961674,0.56393313,0.62075746,0.39914757,0.21261212,0.4901039,0.58037335,0.0632254
0.33673438,0.6217659,0.562869,0.6773028,0.7661237,0.3614529,0.2583175,0.38466394,0.5584565,0.06993704
0.2569459,0.6417349,0.5373369,0.48255384,0.62596637,0.6809139,0.13710879,0.49277753,0.43263155,0.28249556
0.15693551,0.6618661,0.75386536,0.32427025,0.60714173,0.61252314,0.16189152,0.43639866,0.45333,0.1310427
0.15255468,0.6369191,0.8702793,0.6093265,0.877483,0.431747,0.16956533,0.16818899,0.47821522,0.025403712
0.1285346,0.6452436,0.62321895,0.3277028,0.5730566,0.3382676,0.25660357,0.5391034,0.4377714,0.091765575
0.80259025,0.73885924,0.21839234,0.17847084,0.1806057,0.7298181,0.20047128,0.7800558,0.714875,0.29529896
0.74994504,0.701346,0.3997231,0.2052765,0.28945297,0.7374519,0.49324185,0.6179046,0.74206066,0.28270918
0.6901963,0.6895145,0.39470086,0.1915856,0.2811746,0.46892214,0.4959641,0.61102766,0.7350549,0.17229646
0.6668233,0.6491448,0.35074195,0.16745616,0.2220222,0.28528586,0.5549391,0.6526663,0.7545912,0.13931826
0.43178934,0.6932638,0.37161043,0.13548581,0.1791079,0.8281391,0.6893204,0.61922556,0.6330937,0.437197
0.45828226,0.68280226,0.40361956,0.1825807,0.25377452,0.7135188,0.6741257,0.6231716,0.57914287,0.20378695
0.43409488,0.72687346,0.40961722,0.07921434,0.1472428,0.5689476,0.7123146,0.6220252,0.64057404,0.04785375
0.37519872,0.7286565,0.49792963,0.050498404,0.17027384,0.6019249,0.64793414,0.6283519,0.6632201,0.0702641
0.3178484,0.7014002,0.589695,0.1966005,0.38181153,0.7319328,0.4940718,0.7881219,0.63568467,0.21716188
0.44931427,0.77935636,0.493735,0.07574343,0.20092835,0.584508,0.6291231,0.648099,0.6918345,0.051402677
0.50006866,0.7060482,0.37069413,0.13207135,0.1825845,0.79565305,0.5819329,0.6571762,0.6217147,0.38805562
0.23335603,0.627966,0.53445566,0.5235012,0.61805516,0.8274185,0.49224767,0.5947087,0.2883156,0.37720403
0.26903102,0.6669565,0.4646507,0.22460726,0.35778832,0.6391189,0.51087934,0.8008741,0.61687654,0.09077661
0.30338526,0.63665235,0.317669,0.06952874,0.08891294,0.979613,0.4148595,0.6310763,0.68127906,0.97562027
0.22985166,0.5967848,0.3930092,0.16364756,0.23103458,0.97075915,0.3398786,0.6240732,0.48967513,0.86167055
0.07571164,0.71849775,0.8768957,0.8558232,0.92757434,0.5760449,0.31818768,0.43568286,0.04466237,0.1307
0.18397728,0.65313745,0.514393,0.06155854,0.18798351,0.7720728,0.0,0.645722,0.65537596,0.34241793
0.102615155,0.6006005,0.8534956,0.4234794,0.72318727,0.56335,0.124541126,0.50735325,0.2542441,0.1687822
0.37599784,0.66180474,0.3231324,0.061383888,0.06902937,0.8978413,0.6414923,0.6354573,0.67879134,0.6768079
0.2889603,0.6351933,0.37531972,0.024438368,0.04858848,0.8923746,0.5722196,0.62651443,0.6926754,0.6875698
0.33337647,0.6612877,0.42829862,0.025657283,0.08262916,0.7106858,0.66292876,0.62541205,0.6891674,0.2270201
0.6134217,0.68613875,0.24035707,0.13431177,0.12460275,0.75356233,0.4911352,0.6437471,0.64938235,0.29480293
0.72171944,0.7186063,0.18042575,0.09779915,0.059336312,0.7637484,0.372796,0.69052464,0.73431057,0.32781804
0.30234018,0.7110242,0.9093495,0.50120777,0.81204736,0.22963937,0.52987057,0.870422,0.47954586,0.298555
0.28831485,0.8756892,0.9253933,0.6143709,0.87366045,0.18606493,0.629628,0.8918065,0.6073797,0.36415488
0.0,0.60017926,0.9004125,0.6894486,0.9076331,0.22852461,0.6150112,0.84513944,0.46339455,0.23599347
0.57440263,0.7387513,0.58072346,0.5119718,0.68737304,0.41098306,0.54209465,0.8542336,0.6279185,0.061931096
0.35194433,0.6064498,0.82257175,0.7453956,0.916441,0.5035015,0.34263012,0.7897261,0.2707066,0.06464186
0.28058714,0.6030053,0.41819558,0.37522006,0.4406622,0.40485168,0.47584406,0.8064074,0.5067638,0.055951826
0.4182655,0.79456824,0.50659734,0.21120451,0.38137034,0.54889137,0.5857004,0.7396349,0.6462125,0.015478454
0.41911355,0.69816357,0.3526312,0.2504308,0.31877014,0.49482214,0.55119926,0.8329429,0.66308653,0.0061740107
0.43779516,0.71077895,0.74439406,0.50462365,0.7420387,0.2007455,0.7664274,0.9018301,0.63866234,0.3200295
0.4976313,0.6662643,0.58623976,0.4419052,0.6514993,0.5048443,0.4324169,0.8749815,0.4566434,0.037879437
0.40807393,0.66428643,0.41486204,0.25645447,0.36634314,0.38460815,0.49306303,0.8704952,0.647726,0.052986834
0.523552,0.70459557,0.22431733,0.10906118,0.06344749,0.41515088,0.39860445,0.7479608,0.7363707,0.012514683
0.54853934,0.6804187,0.25741583,0.09222067,0.080558,0.28369758,0.31494188,0.71004915,0.7123025,0.12644452
0.2877011,0.5766459,0.6458534,0.9366114,0.84431237,0.21914446,0.5311195,0.7580526,0.14763094,0.31247354
0.45053592,0.6333754,0.3803789,0.21367508,0.30031347,0.087866925,0.7158556,0.80623984,0.5745281,0.5715599
0.63040125,0.65317917,0.38079643,0.278421,0.37256244,0.37463912,0.3222179,0.79035705,0.57802105,0.050273824
0.5189919,0.64036405,0.65198,0.33767414,0.6031113,0.44117382,0.19366108,0.828417,0.41748312,0.03329154
0.45821124,0.648688,0.7704977,0.42412007,0.73408943,0.4986957,0.33065844,0.8891657,0.50218534,0.024541589
0.5629134,0.65551835,0.5161198,0.24361564,0.4037965,0.73441976,0.23998623,0.8267346,0.5655259,0.24087724
0.6873792,0.6613258,0.27373233,0.24999432,0.297547,0.8201694,0.20003594,0.76793635,0.6135436,0.42987725
0.6809196,0.68686604,0.22102296,0.2699069,0.28183335,0.6982625,0.23140372,0.82434404,0.59256536,0.16368712
0.5903929,0.724729,0.30453342,0.09367326,0.104660705,0.63122386,0.4485334,0.7009659,0.71366423,0.102642745
0.69354886,0.72703815,0.3155929,0.13264468,0.16369133,0.77475446,0.39468783,0.72907805,0.7096283,0.31915998
0.74621725,0.72014236,0.4515257,0.14078873,0.25721663,0.55530673,0.48557737,0.7784161,0.66041684,0.01960199
0.73769736,0.72063065,0.4091242,0.41682342,0.51644224,0.55910736,0.4943507,0.9291636,0.6737988,0.031760383
0.82301456,0.68101156,0.3355359,0.41798374,0.46451256,0.635689,0.38727462,0.9232724,0.6029136,0.05779855
0.7611051,0.7157435,0.27076203,0.12223597,0.13000847,0.6399603,0.15529989,0.71760494,0.72722775,0.1469202
0.8545828,0.7083791,0.32569808,0.35200116,0.40334788,0.42631093,0.3283685,0.87591,0.6602467,0.07684179
0.91168994,0.71106654,0.20840922,0.35539258,0.34899828,0.6686449,0.3119261,0.9121946,0.6362502,0.09639197
0.5345523,0.66976124,0.2995545,0.21926248,0.2537108,0.8697755,0.53967464,0.6346972,0.5601708,0.57807356
0.610806,0.65633845,0.22841154,0.24744686,0.27852067,0.90823704,0.25811028,0.7316556,0.61159277,0.7238216
0.71570885,0.668388,0.3285315,0.26718742,0.32072213,0.38446757,0.2170373,0.7992733,0.6544092,0.10483613
0.7011992,0.68508154,0.36758333,0.16374232,0.23698881,0.1464081,0.62446856,0.76274455,0.70917434,0.46747547
0.7937559,0.6688669,0.43038103,0.38196138,0.49602637,0.094050504,0.7002576,0.87741166,0.60867983,0.6753002
0.83970445,0.74408746,0.059356563,0.42741606,0.32017672,0.6243374,0.5042535,0.9714632,0.63176614,0.046122383
0.53109205,0.7518414,0.33696228,0.4561239,0.47649997,0.59173447,0.45638418,0.86877364,0.5143935,0.047445018
0.59333396,0.7409332,0.24293804,0.31016612,0.31664002,0.62554294,0.36572948,0.8468195,0.5502268,0.07413875
0.47382292,0.6377014,0.62692314,0.44885278,0.65079105,0.24356478,0.7167389,0.8648613,0.46252346,0.2411527
0.77036214,0.7486072,0.15333109,0.21230078,0.14862792,0.5619253,0.47840214,0.8253141,0.630954,0.046319384
0.7355947,0.7057183,0.19473818,0.18485664,0.16332303,0.7090178,0.4076947,0.7914944,0.65242344,0.1869041
0.88126683,0.7392814,0.10569955,0.3439939,0.25956684,0.59247005,0.36107063,0.915822,0.61173254,0.031081231
0.8230941,0.73256207,0.11748623,0.256144,0.18486276,0.6039812,0.4399471,0.8778381,0.62204355,0.045897055
0.54595214,0.7199924,0.33691123,0.4490272,0.4840154,0.59987736,0.437869,0.84522337,0.36618048,0.06903141
0.713614,0.70181465,0.44544137,0.34987313,0.48127794,0.06223607,0.68411463,0.44497362,0.9577867,0.4505656
0.67387146,0.6705629,0.56808025,0.33149853,0.5282861,0.28398246,0.51036936,0.39499912,0.9710292,0.16212665
0.5867985,0.74135065,0.4075541,0.353572,0.46697018,0.6166564,0.30763885,0.86974823,0.6247266,0.07151766
0.12442985,0.6081867,0.82641506,0.7285953,0.8314789,0.17117861,0.7043312,0.041560266,0.7244535,0.18429217
0.1806713,0.61710054,0.69926405,0.42508724,0.64021295,0.17506611,0.6816004,0.18732777,0.7879619,0.19023019
0.06131173,0.6790354,0.96191865,0.92937034,0.97020394,0.5260704,0.13026464,0.06283305,0.43243313,0.08646597
0.2552333,0.63290966,0.530364,0.46345246,0.5798246,0.87105125,0.4010994,0.6727116,0.46880454,0.50099117
0.34488475,0.7148459,0.54829735,0.07492344,0.22798072,0.6202635,0.6288202,0.6464221,0.61593604,0.08467146
0.24365713,0.68540597,0.40355393,0.05407535,0.110689566,0.9297083,0.25346634,0.63817513,0.66962886,0.796296
0.44922093,0.6564236,0.55610967,0.4760897,0.6519212,0.27897775,0.43242294,0.5069664,0.6410868,0.12669142
0.3397363,0.65858936,0.2633383,0.28692162,0.31710064,0.6243164,0.19002673,0.63298905,0.61953306,0.13808744
0.38314515,0.5893218,0.57306206,0.61150026,0.7382486,0.4562405,0.28313717,0.92324346,0.293277,0.049316224
0.32603863,0.8169283,0.6422075,0.15950048,0.3961232,0.59040636,0.5224046,0.74419284,0.6516837,0.04939283
0.41845834,0.8616641,0.6405589,0.13814515,0.3655101,0.6035349,0.5013167,0.6930612,0.6685301,0.060625155
0.42707476,0.7372835,0.39907232,0.27256984,0.3765339,0.55229664,0.58821815,0.78349906,0.635872,0.017497832
0.43009335,0.6523677,0.43107513,0.19659208,0.29449886,0.1482659,0.66500217,0.8272436,0.6604072,0.43598625
0.5569122,0.66941977,0.5091069,0.14080268,0.29107592,0.24983962,0.41265777,0.75277305,0.66066647,0.18449306
0.21746004,0.60879195,0.5477955,0.3250216,0.47745514,0.757011,0.39850098,0.8008457,0.5414499,0.27143702
0.38602185,0.6343524,0.6501394,0.17355771,0.403488,0.6086964,0.24091132,0.4286713,0.9081659,0.19188283
0.29420793,0.5570515,0.6948028,0.5387734,0.7217811,0.56299496,0.28215623,0.10554713,0.80976075,0.20684022
0.7475025,0.82267076,0.5289652,0.7992426,0.7739597,0.65956503,0.29577172,0.9142933,0.5418723,0.09488337
0.7692282,0.800815,0.1963863,0.122461766,0.063937716,0.55782074,0.56864417,0.7562929,0.69549507,0.027403468
0.7915602,0.80534077,0.12960199,0.44023246,0.36281073,0.61617994,0.5265595,0.9375688,0.65720516,0.048565544
0.76292825,0.80242544,0.3334648,0.73297185,0.6394958,0.59144217,0.41848448,0.8956806,0.5889742,0.03387643
0.8224265,0.7874372,0.29892385,0.6856488,0.60142,0.5837046,0.38282245,0.9304092,0.5690569,0.02301606
0.81261027,0.7764887,0.23244545,0.5171465,0.46489948,0.55246234,0.3744273,0.9283511,0.52347666,0.009189166
0.6913277,0.7741756,0.21762267,0.31097853,0.29810783,0.57755536,0.35519668,0.84310037,0.5472942,0.032003667
0.69399023,0.8632479,0.42003697,0.5881895,0.64474314,0.4858863,0.7456176,0.599994,0.67998314,0.010027088
0.7359181,0.8210915,0.39428616,0.47009504,0.55405104,0.4290385,0.7280395,0.7003624,0.63434696,0.030441264
0.68405986,0.72573006,0.24479501,0.27985027,0.3111469,0.8605683,0.41749188,0.5459774,0.68827635,0.60970485
0.57074296,0.7063378,0.21839483,0.06479258,0.048168235,0.8631853,0.3342818,0.60007936,0.72024995,0.6248588
0.62669283,0.6990275,0.3593525,0.2369177,0.31131694,0.7039524,0.3572528,0.5716349,0.68169075,0.32381368
0.9264384,0.7921526,0.06350001,0.585646,0.4234657,0.5964945,0.46767637,0.9884073,0.59063476,0.025157446
0.5664163,0.8645496,0.7135203,0.5334969,0.78746974,0.35575753,0.3941124,0.539533,0.9893779,0.06650467
0.79291415,0.74242395,0.50248665,0.528823,0.6725556,0.47945082,0.26355866,0.8054178,0.85014147,0.019064084
0.95610505,0.79672223,0.008349271,0.42577782,0.27524066,0.5812567,0.47816664,0.9670382,0.6291998,0.020791369
0.933633,0.7427967,0.05676929,0.3215968,0.22862385,0.63352185,0.39031303,0.9184772,0.67210454,0.063429445
0.6261828,0.7328931,0.41510895,0.32432204,0.439517,0.53618777,0.3695012,0.8719961,0.5660153,0.011726439
0.98062295,0.77940726,0.019390743,0.27665782,0.15222983,0.60997194,0.40385965,0.900693,0.65154374,0.046118725
0.87213373,0.7590052,0.08309276,0.23897566,0.12921424,0.5464673,0.38601175,0.8577168,0.62533635,0.010913809
0.80074745,0.74411064,0.115701795,0.27588022,0.19425988,0.54980886,0.36449614,0.8550582,0.5781083,0.011691291
0.7653091,0.738546,0.21009158,0.3000289,0.2735058,0.5296598,0.3260295,0.85050017,0.563247,0.0058374656
0.8017405,0.79864275,0.18831,0.19529393,0.14031431,0.4804749,0.5781901,0.8252512,0.65569407,0.004315194
0.4035504,0.93282914,0.7105949,0.09744184,0.34086716,0.644748,0.45337698,0.6796349,0.67450166,0.11369678
0.54952246,0.67686844,0.2607226,0.16995,0.19819848,0.8664495,0.36089113,0.71675336,0.66337687,0.58085394
0.56076634,0.64536566,0.34226882,0.3133126,0.387107,0.6118635,0.24295518,0.6619756,0.7732798,0.12432735
0.716061,0.68694896,0.44859713,0.42689466,0.56575733,0.5368991,0.4583319,0.74147624,0.8948885,0.07265611
0.5938843,0.71060175,0.42517447,0.10669786,0.19570582,0.68605626,0.3180559,0.7085967,0.69805604,0.18753086
0.7878589,0.6756393,0.37270054,0.43873695,0.51825845,0.45933887,0.4110892,0.84518576,0.81155163,0.016413582
0.7421655,0.70185566,0.5071541,0.46920693,0.6107053,0.048174333,0.738909,0.529013,0.9781401,0.5273774
0.6653232,0.73700595,0.5976689,0.43106452,0.6218855,0.12248603,0.8274468,0.6822126,0.9184613,0.40935472
0.53108716,0.6873795,0.553323,0.432672,0.58247656,0.3821401,0.36803982,0.18538904,0.8687063,0.21247807
0.6683654,0.7516313,0.58681697,0.3657791,0.544688,0.031017045,0.8899858,0.49994624,0.9794327,0.5960754
0.6093143,0.7265641,0.5911995,0.35816944,0.5377403,0.092552945,0.65116906,0.28305703,0.9203346,0.34637904
0.65122163,0.7093844,0.5233325,0.36346245,0.5179234,0.09549496,0.6385367,0.289369,0.9251355,0.35658658
0.70396477,0.7842507,0.32052726,0.3364952,0.3868101,0.41771823,0.72057605,0.7354893,0.7609483,0.014387204
0.6690945,0.6968751,0.35191092,0.32023093,0.3895119,0.7128439,0.5741852,0.78332394,0.8126182,0.27306372
0.61030227,0.66879493,0.40158355,0.3044941,0.4029769,0.79481626,0.41775537,0.509916,0.95897573,0.53610444
0.7821988,0.685648,0.3607225,0.39358857,0.4659943,0.47052896,0.67946786,0.8385612,0.7114281,0.0043659373
0.5644319,0.76995176,0.45291725,0.28824908,0.42258537,0.52600145,0.711245,0.5385825,0.8813205,0.0479926
0.49124017,0.6996999,0.48866272,0.14994486,0.28379652,0.60722715,0.66951424,0.5079432,0.9050308,0.13157114
0.83972895,0.68142694,0.272344,0.46400088,0.46716943,0.66256595,0.55143106,0.8758146,0.6440164,0.08855126
0.5207541,0.6848291,0.33712003,0.28279588,0.34800994,0.9013723,0.5975486,0.59780204,0.77277094,0.7355654
0.64614147,0.65778905,0.35750684,0.32598114,0.40455836,0.8776471,0.41082135,0.6467796,0.7301404,0.5853897
0.7829369,0.6607439,0.2462952,0.4703329,0.47033897,0.70760703,0.43094245,0.9160502,0.70377827,0.18165061
0.8580283,0.6990562,0.20989256,0.40603045,0.39931247,0.67575824,0.39710993,0.9030374,0.6891236,0.12651764
0.85384506,0.70932525,0.24937278,0.385408,0.3882064,0.6232029,0.5687659,0.82143843,0.64128923,0.05525602
0.8635975,0.75944436,0.031551126,0.32184926,0.22973728,0.66595346,0.42002577,0.8565743,0.6715603,0.09847394
0.86427945,0.71661896,0.09311183,0.40077287,0.3223718,0.6443627,0.47810912,0.901095,0.6500453,0.07077233
0.88728046,0.7243507,0.12268519,0.33194405,0.28864777,0.6958345,0.34351376,0.88783133,0.69169194,0.1430191
0.73330474,0.763907,0.30253223,0.5106145,0.5145348,0.4433311,0.7477509,0.72377986,0.5756151,0.032460935
0.7456704,0.7291433,0.3313243,0.4363233,0.4806643,0.52296245,0.69462866,0.7548179,0.59416264,0.021397403
0.7159104,0.8304037,0.42156985,0.39278978,0.5103133,0.48149747,0.71180904,0.6517508,0.6595623,0.00948797
