labels,geodesic,functional,structural
54,0.83001524,0.469833884071134,0.35284899469388914
46,0.94957787,0.2109923613296063,0.45868680851708177
41,0.58870995,0.5213825044902944,0.22898931267959471
87,0.5755596,0.34172448029758096,0.21853327930051977
99,0.46914738,0.37740747083652426,0.13157358733436644
149,0.73846287,0.31930637786159677,0.23930714573061668
6,0.8824913,0.2699418873061452,0.6655899910083684
121,0.6395801,0.5898724244711162,0.6623908421923779
0,0.0,,
111,0.17463699,0.5143929653069659,0.9183644098577057
129,0.48795497,0.22431732946137162,0.23219057131196913
135,0.45547494,0.7898056349909961,0.3191164551594266
8,0.63498265,0.44442243189164365,0.2837752197812288
83,0.47664192,0.3046725881059258,0.17386808286649869
97,0.71353334,0.40858310452441504,0.1551936826407712
51,0.71792984,0.3244980839735909,0.3158875891190925
147,0.5621656,0.29169896882409896,0.3320862578232159
51,0.8942428,0.3244980839735909,0.3158875891190925
95,0.8159143,0.19441331510313775,0.3099713620999759
55,0.7318121,0.5246822794342356,0.38852094341238763
37,0.79105157,0.4470000185968894,0.3058283730866595
63,0.54718155,0.4184735880488457,0.2042447607825766
64,0.32823208,0.7151561234470734,0.27631708698216645
0,0.38770413,,
77,0.37073883,0.30380685256061835,0.22567766774482564
93,0.13834015,0.8686867816315602,0.27415854895066005
108,0.3057325,0.31334509141436184,0.19022128393521526
104,0.4340261,0.5042087882718329,0.18466671488691816
178,0.2657219,0.5350631659288303,0.12380170446050821
28,0.59518653,0.4070961987398207,0.4005970716063846
150,0.7952494,0.3651508756757127,0.2395659438732138
137,0.72462684,0.2685865703516779,0.2160517413240088
19,0.9933847,0.022360498586505795,0.2971545708252919
15,0.7850834,0.5679961977136765,0.530747687712172
1,0.7950649,0.5662171955216913,0.0
14,0.66087574,0.7290772849461491,0.5481429522707421
0,0.0,,
131,0.25448385,0.6436132725151982,0.0816572268579835
0,0.0,,
134,0.5306027,0.6638523525661708,0.2622927367423264
18,0.6915808,0.39916596211785516,0.2866291943159533
153,0.57189566,0.33713177041531495,0.405317696034264
8,0.7238898,0.44442243189164365,0.2837752197812288
12,0.64639825,0.268619469494344,0.0497327343964936
96,0.7626313,0.3851151858622317,0.12303596053224948
9,0.7700986,0.4192658845135324,0.5696292867072185
9,0.6918047,0.4192658845135324,0.5696292867072185
53,0.85005975,0.4371579939774053,0.41276080318713343
51,0.8191531,0.3244980839735909,0.3158875891190925
55,0.8137431,0.5246822794342356,0.38852094341238763
8,0.8498499,0.44442243189164365,0.2837752197812288
96,0.7883564,0.3851151858622317,0.12303596053224948
72,0.4836774,0.572620055247687,0.25395336738049823
69,0.4260941,0.4259315578437315,0.08744374154232207
71,0.57282835,0.42465470366785585,0.30551528562183056
86,0.48469916,0.43708694755963684,0.23862212922267112
90,0.4171207,0.5512126448724,0.5251154592475435
84,0.54462665,0.30366296986849095,0.13453805677597422
82,0.42706817,0.3196429486945567,0.09231331971289085
100,0.4035698,0.41238924345015215,0.12317449151570474
168,0.34868222,0.5542131184599022,0.46450896934684793
108,0.39956594,0.31334509141436184,0.19022128393521526
100,0.5236108,0.41238924345015215,0.12317449151570474
105,0.48359728,0.38632559012512235,0.06550478378640083
149,0.7573232,0.31930637786159677,0.23930714573061668
150,0.71068597,0.3651508756757127,0.2395659438732138
149,0.67447996,0.31930637786159677,0.23930714573061668
144,0.7917965,0.2606551234043013,0.4207990211194132
149,0.843266,0.31930637786159677,0.23930714573061668
15,0.85178095,0.5679961977136765,0.530747687712172
152,0.8745574,0.05935656198389205,0.37383350170129737
17,0.952122,0.060190810896544544,0.35986541621165047
45,0.85817474,0.3050161359611243,0.30870049142183287
27,0.8089034,0.557708914492105,0.28469610375622045
57,0.49533865,0.6396070731031709,0.15106792168494518
0,0.53541565,,
38,0.62058073,0.48704769097429645,0.28126563482120015
164,0.11183593,0.8640882746245975,0.3277996246219532
0,0.0,,
0,0.0,,
106,0.22465551,0.5214696646917778,0.1050220422013289
131,0.23150204,0.6436132725151982,0.0816572268579835
112,0.14326988,0.9270115492636344,0.053499249757465575
130,0.5896049,0.2547076721896788,0.09739065536657912
133,0.64371777,0.3879000350980002,0.19942808035645712
176,0.50840414,0.4253226257739384,0.26562424092369635
1,0.8842676,0.5662171955216913,0.0
4,0.7671772,0.343755586610202,0.38554145698036885
22,0.78423715,0.26651179152881843,0.25531567622960555
14,0.5669022,0.7290772849461491,0.5481429522707421
119,0.50398296,0.9324269345023279,0.4537732827936663
1,0.6241145,0.5662171955216913,0.0
56,0.56591624,0.3558309364836867,0.40171379782009536
78,0.4927975,0.22837666503867426,0.43320000678464987
80,0.5683217,0.28182329984259047,0.019846985667775586
73,0.5820879,0.4116885433883595,0.5216999810370996
68,0.6688581,0.5514326126587248,0.21419168984490203
117,0.69823766,0.1682515522421797,0.10196458787074161
148,0.65360415,0.2147751631559598,0.17202240270947156
52,0.63254356,0.35980528463825134,0.48179204219228017
9,0.60758144,0.4192658845135324,0.5696292867072185
42,0.8940653,0.2973440761785584,0.10774345296328576
48,0.87728554,0.05640582879976952,0.36849595520506473
47,0.8307378,0.26358867467948555,0.3817987445701518
117,0.7657151,0.1682515522421797,0.10196458787074161
55,0.64991003,0.5246822794342356,0.38852094341238763
37,0.6882978,0.4470000185968894,0.3058283730866595
8,0.74339414,0.44442243189164365,0.2837752197812288
39,0.8727788,0.38734597058578935,0.2865804017451281
68,0.70024854,0.5514326126587248,0.21419168984490203
26,0.67441326,0.2176127855429959,0.1434837150900675
43,0.5363438,0.4172196356890834,0.4464583957482967
61,0.21041413,0.7745377066496801,0.1281628899528889
0,0.0,,
180,0.3154242,0.7163272420420577,0.1599661434612481
179,0.429773,0.6535640004609946,0.260159954779601
76,0.23242605,0.2910068336962688,0.20652569412473656
94,0.1487348,0.6317372138488606,0.583129180760326
91,0.26089615,0.5214367929645571,0.6649807115445603
88,0.26726395,0.6444634398466937,0.3911363130152894
74,0.41042832,0.24288188701820435,0.13070890856494907
75,0.2942544,0.2560706476782002,0.15553787654109594
169,0.24498193,0.4051352807067379,0.05477139109231792
174,0.42694247,0.6400778649893941,0.14562903215374762
175,0.37705016,0.40208442515033704,0.12275846530903858
173,0.35147962,0.6494570474577483,0.5905753562790413
106,0.29298505,0.5214696646917778,0.1050220422013289
148,0.5780454,0.2147751631559598,0.17202240270947156
104,0.512551,0.5042087882718329,0.18466671488691816
139,0.5267088,0.3078075383041705,0.24721212857938804
159,0.8294316,0.12001779112482369,0.26335355953138534
2,0.7929316,0.1631122776424867,0.7920633801249995
140,0.75105226,0.3155929011175824,0.08248332265524891
139,0.6316523,0.3078075383041705,0.24721212857938804
145,0.91569734,0.3209388753011595,0.07089455601858949
143,0.89346004,0.3570918377350596,0.3940836962975636
6,0.95799464,0.2699418873061452,0.6655899910083684
142,0.7131903,0.4368562325422056,0.1261040793683168
1,0.7277168,0.5662171955216913,0.0
4,0.79194343,0.343755586610202,0.38554145698036885
4,0.8958932,0.343755586610202,0.38554145698036885
