networks,Grad3 25% Upper,Grad3 25% Lower
Visual,2.640251729224674,2.8204906954587026
Somatomotor,2.52798401458371,2.2477641078784876
Dorsal Attention,2.433082049316914,2.2922153756632357
Ventral Attention,2.2443042970204217,2.090373340354857
Default,2.6552211606854255,2.776392126998678
Frontoparietal,2.424135719798468,2.135086901603747
Limbic,2.880678353516795,2.5861993980605136
