networks,clust1,clust2,clust3,clust4,clust5
Visual,3.3532304130511803,2.5371052595945423,3.1985670335206855,2.1704947914679287,2.655335727608334
Somatomotor,2.5692233783346996,2.3422254158876,2.6269590068770974,2.110590305200691,2.5730425161172907
Dorsal Attention,2.7302924276615177,2.207287094540238,2.862132262847766,1.8649637832567851,2.4609576991429853
Ventral Attention,2.1715824263492767,2.2423050060549192,2.063323690150485,2.2020984981830702,2.2952023757538513
Default,2.7142638777505024,2.650185775708054,2.454938678275111,2.933269024138287,2.7515037430513454
Frontoparietal,2.289758346645202,2.1853514306674002,2.108753115128944,2.1610474317394197,2.5474801853425015
Limbic,2.8254053295845005,2.724309061706588,2.359524027441298,2.594855590929153,3.0054101953796564
