networks,Grad1 25% Upper,Grad1 25% Lower
Visual,3.421985681232197,2.2201240333593013
Somatomotor,2.5463809931004797,2.128505942237663
Dorsal Attention,2.8329983928596176,1.9344427062075231
Ventral Attention,2.0342662820949164,2.168459651687916
Default,2.553349003182229,2.716716387654864
Frontoparietal,2.1729534981919323,2.075773517964267
Limbic,2.548989390840896,2.560010764919906
