,Grad1 upper 25%,Grad1 lower 25%,Grad2 upper 25%,Grad2 lower 25%
Aghourian_FEOBV,0.2990740239620209,-0.02795497141778469,0.2853373885154724,0.32598209381103516
Bedard_FEOBV,0.3494511544704437,-0.13667920231819153,0.20397688448429108,0.17068162560462952
Tuominen_FEOBV,0.2682691812515259,-0.1190953254699707,0.1590815931558609,0.10966935008764267
M1,0.0550234317779541,-0.04476909711956978,0.012199100106954575,-0.0034054156858474016
nAchRs,0.011756557039916515,0.1712084859609604,0.34176310896873474,0.22324420511722565
