,Grad1 upper 25%,Grad1 lower 25%,Grad2 upper 25%,Grad2 lower 25%
Aghourian_FEOBV,0.03607631474733353,0.0972873643040657,0.03607631474733353,0.0972873643040657
Bedard_FEOBV,-0.15586426854133606,0.05011577904224396,-0.15586426854133606,0.05011577904224396
Tuominen_FEOBV,-0.15463361144065857,-0.015860866755247116,-0.15463361144065857,-0.015860866755247116
M1,-0.013719595037400723,-0.06836210191249847,-0.013719595037400723,-0.06836210191249847
nAchRs,-0.1160028949379921,-0.1294439285993576,-0.1160028949379921,-0.1294439285993576
