,k3clust1,k3clust2,k3clust3
Aghourian_FEOBV,-0.04305684566497803,0.2836005389690399,-0.09194434434175491
Bedard_FEOBV,0.15630213916301727,0.3484291136264801,0.006461507640779018
Tuominen_FEOBV,0.18607211112976074,0.3516906499862671,0.0849938616156578
M1,-0.16993743181228638,-0.08470518887042999,-0.15757296979427338
nAchRs,-0.1414031982421875,-0.032607559114694595,-0.16343417763710022
