,Grad1 upper 25% corr,Grad1 upper 25% pval,Grad1 lower 25% corr,Grad1 lower 25% pval,Grad2 upper 25% corr,Grad2 upper 25% pval,Grad2 lower 25% corr,Grad2 lower 25% pval
Aghourian_FEOBV,0.2591724693775177,0.0297029702970297,-0.08863773941993713,0.44554455445544555,0.2610381543636322,0.009900990099009901,0.06325551122426987,0.5445544554455446
Bedard_FEOBV,0.19955460727214813,0.09900990099009901,-0.08481094986200333,0.5346534653465347,0.14456215500831604,0.04950495049504951,0.06528903543949127,0.5445544554455446
Tuominen_FEOBV,0.24455972015857697,0.12871287128712872,-0.11743170022964478,0.36633663366336633,0.1793987900018692,0.07920792079207921,0.07984024286270142,0.40594059405940597
M1,-0.03455721214413643,0.7524752475247525,0.017940793186426163,0.8712871287128713,-0.027263645082712173,0.8217821782178217,-0.014258857816457748,0.900990099009901
nAchRs,0.014924122020602226,0.9108910891089109,-0.06253993511199951,0.6237623762376238,-0.11839751154184341,0.38613861386138615,-0.012328965589404106,0.9306930693069307
