,Grad1corr,Grad1pval,Grad2corr,Grad2pval
Aghourian_FEOBV,-0.2695542275905609,0.07920792079207921,0.01933499053120613,0.9207920792079208
Bedard_FEOBV,-0.31478577852249146,0.009900990099009901,-0.16588608920574188,0.24752475247524752
Tuominen_FEOBV,-0.28208425641059875,0.009900990099009901,-0.0947064608335495,0.5148514851485149
M1,-0.0300846416503191,0.8316831683168316,0.08228060603141785,0.5643564356435643
nAchRs,-0.05023171380162239,0.49504950495049505,0.15221725404262543,0.07920792079207921
