,k3clust1corr,k3clust1pval,k3clust2corr,k3clust2pval,k3clust3corr,k3clust3pval
Aghourian_FEOBV,0.02537442371249199,0.9108910891089109,0.2883751094341278,0.009900990099009901,-0.03612323850393295,0.7623762376237624
Bedard_FEOBV,0.10701271891593933,0.33663366336633666,0.2776457965373993,0.009900990099009901,-0.013004493899643421,0.9108910891089109
Tuominen_FEOBV,0.05576154217123985,0.5544554455445545,0.24450133740901947,0.009900990099009901,0.008741195313632488,0.9405940594059405
M1,0.11885084211826324,0.2376237623762376,0.07663895189762115,0.42574257425742573,0.02641214057803154,0.8316831683168316
nAchRs,-0.0853000059723854,0.31683168316831684,0.008065767586231232,0.9306930693069307,-0.1410425901412964,0.06930693069306931
