,k5clust1,k5clust2,k5clust3,k5clust4,k5clust5
Aghourian_FEOBV,-0.12668876349925995,0.08995066583156586,-0.16902846097946167,-0.01113992277532816,0.016409818083047867
Bedard_FEOBV,-0.03599347919225693,0.12243324518203735,-0.1423140913248062,0.04010524973273277,0.0764932706952095
Tuominen_FEOBV,-0.02254091016948223,0.1254062056541443,-0.08770565688610077,0.044582564383745193,0.07945083826780319
M1,-0.08965012431144714,-0.024424219503998756,-0.10508552193641663,-0.06868120282888412,-0.049785420298576355
nAchRs,-0.15894900262355804,-0.038309745490550995,-0.11265847086906433,-0.07323396950960159,-0.08256936073303223
