,Grad1,Grad2
Aghourian_FEOBV,-0.2679004967212677,0.06688404828310013
Bedard_FEOBV,-0.24844427406787872,-0.019142765551805496
Tuominen_FEOBV,-0.2169993668794632,0.015873409807682037
M1,-0.06025988236069679,0.03922096639871597
nAchRs,-0.10804634541273117,0.06554604321718216
