,k5clust1corr,k5clust1pval,k5clust2corr,k5clust2pval,k5clust3corr,k5clust3pval,k5clust4corr,k5clust4pval,k5clust5corr,k5clust5pval
Aghourian_FEOBV,-0.3739091455936432,0.039603960396039604,-0.1807621866464615,0.27722772277227725,-0.1814526617527008,0.26732673267326734,0.0037401209119707346,1.0,-0.3723281919956207,0.039603960396039604
Bedard_FEOBV,-0.17211857438087463,0.42574257425742573,-0.05727079138159752,0.7722772277227723,-0.092032290995121,0.6039603960396039,0.012688289396464825,0.9504950495049505,-0.29216063022613525,0.06930693069306931
Tuominen_FEOBV,-0.15600943565368652,0.45544554455445546,-0.0011216385755687952,1.0,-0.020454522222280502,0.8316831683168316,0.1072169691324234,0.5742574257425742,-0.22695301473140717,0.19801980198019803
M1,-0.04533027112483978,0.7623762376237624,-0.05531832203269005,0.7227722772277227,-0.08579133450984955,0.5742574257425742,-0.07715010643005371,0.7326732673267327,-0.050577275454998016,0.7524752475247525
nAchRs,-0.36747339367866516,0.009900990099009901,-0.2724809944629669,0.009900990099009901,-0.23946934938430786,0.039603960396039604,-0.19562013447284698,0.06930693069306931,-0.31678906083106995,0.019801980198019802
