,Grad1corr,Grad1pval,Grad2corr,Grad2pval
Aghourian_FEOBV,-0.4523147642612457,0.009900990099009901,0.2527073323726654,0.2079207920792079
Bedard_FEOBV,-0.3120719790458679,0.06930693069306931,-0.010797867551445961,0.9405940594059405
Tuominen_FEOBV,-0.36785435676574707,0.039603960396039604,0.07967258989810944,0.5346534653465347
M1,0.048723675310611725,0.8811881188118812,0.010517682880163193,0.9504950495049505
nAchRs,-0.18649430572986603,0.13861386138613863,0.13071851432323456,0.26732673267326734
