,k5clust1,k5clust2,k5clust3,k5clust4,k5clust5
Aghourian_FEOBV,-0.12553666532039642,0.006543535739183426,-0.14962764084339142,0.03713430464267731,-0.01762266829609871
Bedard_FEOBV,-0.046834900975227356,0.08675169199705124,-0.14617592096328735,0.09340807795524597,-0.0012295265914872289
Tuominen_FEOBV,-0.0531974658370018,0.0699215829372406,-0.11622699350118637,0.08852624893188477,0.0018234868766739964
M1,-0.07068834453821182,-0.04406070336699486,-0.057073500007390976,-0.029874645173549652,-0.06493153423070908
nAchRs,-0.1674290895462036,-0.12425991892814636,-0.11637023091316223,-0.09070988744497299,-0.07382317632436752
