,Grad1 upper 25%,Grad1 lower 25%,Grad2 upper 25%,Grad2 lower 25%
Aghourian_FEOBV,-0.05357830971479416,0.08746645599603653,-0.05357830971479416,0.08746645599603653
Bedard_FEOBV,-0.09514650702476501,0.03142113611102104,-0.09514650702476501,0.03142113611102104
Tuominen_FEOBV,-0.1788349151611328,-0.07039253413677216,-0.1788349151611328,-0.07039253413677216
M1,0.0014125930611044168,-0.06013970077037811,0.0014125930611044168,-0.06013970077037811
nAchRs,-0.08401951938867569,-0.1651291698217392,-0.08401951938867569,-0.1651291698217392
