,k3clust1,k3clust2,k3clust3
Aghourian_FEOBV,0.03172945976257324,0.3208562731742859,-0.03835807368159294
Bedard_FEOBV,0.20244918763637543,0.38333210349082947,0.033890217542648315
Tuominen_FEOBV,0.15979300439357758,0.37012624740600586,0.05640687048435211
M1,-0.12111496925354004,-0.05055428296327591,-0.1296001374721527
nAchRs,-0.19353701174259186,-0.036102090030908585,-0.22699062526226044
