,Grad1corr,Grad1pval,Grad2corr,Grad2pval
Aghourian_FEOBV,0.1894274353981018,0.04950495049504951,0.31991079449653625,0.019801980198019802
Bedard_FEOBV,0.1611308753490448,0.04950495049504951,0.11272995173931122,0.33663366336633666
Tuominen_FEOBV,0.13769705593585968,0.1782178217821782,0.28019124269485474,0.09900990099009901
M1,0.017408793792128563,0.8316831683168316,-0.14257745444774628,0.297029702970297
nAchRs,0.0937480553984642,0.25742574257425743,-0.05702564865350723,0.5742574257425742
