,Grad1,Grad2
Aghourian_FEOBV,-0.2695542275905609,0.01933499053120613
Bedard_FEOBV,-0.31478577852249146,-0.16588608920574188
Tuominen_FEOBV,-0.28208425641059875,-0.0947064608335495
M1,-0.0300846416503191,0.08228060603141785
nAchRs,-0.05023171380162239,0.15221725404262543
